StudentID,PauseCount,PlayCount,SeekForwardCount,SeekBackwardCount,TabSwitchCount,TotalVideoTime(mins)
1,1.0,1.0,0.0,0.0,0.0,31.48776666666667
11,8.0,13.0,0.0,0.0,0.0,17320.232283333335
13,6.0,11.0,0.0,0.0,0.0,2.0554333333333332
1419,6.0,6.0,0.0,0.0,0.0,4.276766666666666
31,2.0,2.0,0.0,0.0,0.0,123.36068333333333
32,1.0,2.0,0.0,0.0,0.0,0.34931666666666666
33,7.0,7.0,0.0,0.0,0.0,9.483983333333333
34,6.0,9.0,0.0,0.0,0.0,104.64291666666666
35,1.0,1.0,0.0,0.0,0.0,0.9169166666666667
52,1.0,1.0,0.0,0.0,0.0,21.375600000000002
54,31.0,33.0,0.0,0.0,0.0,49.483066666666666
7,2.0,2.0,0.0,0.0,0.0,1.06375
S1424,6.0,6.0,0.0,0.0,0.0,3.5177
s1424,5.0,8.0,0.0,0.0,0.0,4.831783333333333
1041584,0.0,1.0,0.0,0.0,0.0,0.9149666666666667
44,0.0,0.0,0.0,0.0,0.0,0.00105
steki,0.0,0.0,0.0,0.0,0.0,539.7340833333333
